"DETECTION_METHOD","FINES"
"Police issued",763
"Police issued",821
"Police issued",198
"Police issued",17
"Police issued",45
"Police issued",34
"Police issued",12
"Police issued",10
"Police issued",10
"Fixed camera",32191
"Mobile camera",3212
"Red light camera",19142
"Police issued",5
"Red light camera",3
"Mobile camera",327
"Police issued",56
"Red light camera",90
"Mobile camera",818
"Police issued",114
"Red light camera",346
"Mobile camera",981
"Red light camera",468
"Mobile camera",303
"Police issued",26
"Red light camera",105
"Mobile camera",84
"Red light camera",38
"Fixed camera",1
"Mobile camera",3
"Police issued",2
"Fixed camera",523
"Mobile camera",946
"Police issued",696
"Fixed camera",1245
"Mobile camera",2291
"Police issued",1172
"Fixed camera",2205
"Mobile camera",4028
"Police issued",1505
"Fixed camera",806
"Mobile camera",1120
"Police issued",362
"Fixed camera",164
"Mobile camera",202
"Fixed or mobile camera",2
"Police issued",1
"Fixed or mobile camera",488
"Police issued",265
"Fixed or mobile camera",1158
"Police issued",427
"Fixed or mobile camera",1614
"Police issued",469
"Fixed or mobile camera",613
"Police issued",134
"Police issued",3
"Fixed camera",38
"Mobile camera",571
"Police issued",676
"Fixed camera",139
"Mobile camera",1944
"Police issued",1304
"Fixed camera",318
"Mobile camera",3340
"Police issued",1675
"Fixed camera",160
"Mobile camera",1284
"Fixed camera",180
"Mobile camera",1775
"Fixed camera",2907
"Mobile camera",2024
"Police issued",949
"Fixed camera",10464
"Mobile camera",8418
"Police issued",1669
"Fixed camera",16073
"Mobile camera",13468
"Police issued",1941
"Fixed camera",4334
"Mobile camera",3784
"Police issued",335
"Fixed camera",10968
"Mobile camera",7008
"Mobile camera",97
"Police issued",127
"Mobile camera",337
"Police issued",316
"Mobile camera",554
"Police issued",329
"Fixed camera",4
"Mobile camera",255
"Police issued",81
"Fixed camera",7
"Mobile camera",337
"Police issued",3
"Police issued",13
"Fixed camera",40
"Police issued",54
"Fixed camera",170
"Mobile camera",177
"Police issued",87
"Fixed camera",247
"Mobile camera",296
"Police issued",95
"Fixed camera",58
"Mobile camera",97
"Police issued",24
"Fixed camera",130
"Mobile camera",138
"Average speed camera",180
"Fixed camera",842
"Mobile camera",3888
"Red light camera",678
"Unknown",0
"Average speed camera",440
"Fixed camera",2652
"Mobile camera",9339
"Police issued",1449
"Red light camera",2290
"Unknown",0
"Average speed camera",498
"Fixed camera",4038
"Mobile camera",13549
"Police issued",1647
"Red light camera",4600
"Unknown",0
"Average speed camera",100
"Fixed camera",916
"Mobile camera",3301
"Police issued",322
"Red light camera",1176
"Unknown",0
"Fixed camera",5
"Mobile camera",14
"Fixed camera",2
"Fixed camera",407
"Mobile camera",204
"Police issued",83
"Fixed camera",1005
"Mobile camera",545
"Police issued",86
"Fixed camera",1682
"Mobile camera",770
"Police issued",64
"Fixed camera",444
"Mobile camera",205
"Police issued",6
"Fixed camera",69
"Mobile camera",31
"Police issued",4
"Police issued",1369
"Police issued",2112
"Police issued",2099
"Police issued",415
"Police issued",5
"Police issued",1569
"Police issued",1819
"Police issued",1584
"Police issued",226
"Police issued",335
"Police issued",540
"Police issued",624
"Police issued",144
"Police issued",26
"Police issued",36
"Police issued",26
"Fixed camera",30257
"Mobile camera",3349
"Red light camera",20950
"Police issued",3
"Mobile camera",5
"Mobile camera",394
"Police issued",57
"Mobile camera",982
"Police issued",115
"Red light camera",260
"Mobile camera",1222
"Police issued",132
"Red light camera",397
"Mobile camera",316
"Police issued",17
"Red light camera",76
"Mobile camera",109
"Red light camera",31
"Police issued",4
"Fixed camera",493
"Mobile camera",860
"Other",1
"Police issued",766
"Fixed camera",1154
"Mobile camera",2155
"Police issued",1270
"Fixed camera",2046
"Mobile camera",3455
"Police issued",1646
"Fixed camera",719
"Mobile camera",953
"Police issued",407
"Fixed camera",135
"Mobile camera",158
"Fixed or mobile camera",509
"Police issued",316
"Fixed or mobile camera",1200
"Police issued",489
"Fixed or mobile camera",1660
"Police issued",598
"Fixed or mobile camera",585
"Police issued",175
"Fixed camera",55
"Mobile camera",584
"Police issued",719
"Fixed camera",209
"Mobile camera",1971
"Police issued",1389
"Fixed camera",438
"Mobile camera",3150
"Police issued",1597
"Fixed camera",237
"Mobile camera",1281
"Police issued",427
"Fixed camera",259
"Mobile camera",1678
"Fixed camera",2779
"Mobile camera",2161
"Police issued",1046
"Fixed camera",9515
"Mobile camera",9376
"Police issued",1885
"Fixed camera",15372
"Mobile camera",15228
"Police issued",2131
"Fixed camera",4298
"Mobile camera",4325
"Police issued",359
"Fixed camera",10208
"Mobile camera",7431
"Fixed camera",3
"Mobile camera",109
"Police issued",141
"Fixed camera",4
"Mobile camera",384
"Police issued",315
"Mobile camera",647
"Police issued",381
"Police issued",73
"Mobile camera",371
"Police issued",2
"Police issued",2
"Police issued",5
"Police issued",10
"Fixed camera",23
"Mobile camera",60
"Police issued",42
"Fixed camera",160
"Mobile camera",270
"Police issued",102
"Fixed camera",261
"Mobile camera",397
"Police issued",81
"Fixed camera",80
"Mobile camera",157
"Police issued",25
"Fixed camera",146
"Mobile camera",195
"Red light camera",1
"Average speed camera",205
"Fixed camera",969
"Mobile camera",5380
"Police issued",625
"Red light camera",1069
"Unknown",0
"Average speed camera",502
"Fixed camera",2879
"Mobile camera",12534
"Police issued",1217
"Red light camera",3611
"Unknown",0
"Average speed camera",551
"Fixed camera",4582
"Mobile camera",18163
"Police issued",1460
"Red light camera",7979
"Unknown",0
"Average speed camera",118
"Fixed camera",1072
"Mobile camera",4116
"Police issued",284
"Red light camera",2512
"Fixed camera",4
"Mobile camera",19
"Police issued",4
"Fixed camera",473
"Mobile camera",194
"Police issued",61
"Fixed camera",893
"Mobile camera",504
"Police issued",63
"Fixed camera",1520
"Mobile camera",631
"Police issued",40
"Fixed camera",431
"Mobile camera",237
"Police issued",7
"Fixed camera",66
"Mobile camera",24
"Police issued",7
"Police issued",1529
"Police issued",2345
"Police issued",2341
"Police issued",569
"Police issued",1749
"Police issued",1974
"Police issued",1730
"Police issued",312
"Police issued",576
"Police issued",759
"Police issued",197
"Police issued",21
"Police issued",55
"Police issued",10
"Police issued",9
"Police issued",8
"Fixed camera",36480
"Mobile camera",3397
"Red light camera",22829
"Police issued",15
"Police issued",4
"Mobile camera",425
"Police issued",45
"Red light camera",49
